,0,1,accuracy,macro avg,weighted avg
precision,0.9983660130718954,1.0,0.9984202211690363,0.9991830065359477,0.9984228025069954
recall,1.0,0.9545454545454546,0.9984202211690363,0.9772727272727273,0.9984202211690363
f1-score,0.9991823385118561,0.9767441860465116,0.9984202211690363,0.9879632622791839,0.998402497509901
support,611.0,22.0,0.9984202211690363,633.0,633.0
